Entity,Code,Year,Average,Lower bound,Upper bound
World,OWID_WRL,1859,0.07198254,-0.0702449,0.21421002
World,OWID_WRL,1860,-0.04316949,-0.19423454,0.10789556
World,OWID_WRL,1861,-0.09973674,-0.2702844,0.07081095
World,OWID_WRL,1862,-0.19086556,-0.3598417,-0.021889409
World,OWID_WRL,1863,-0.018886646,-0.2140082,0.17623492
World,OWID_WRL,1864,-0.13017713,-0.31695038,0.056596078
World,OWID_WRL,1865,-0.028281799,-0.22767155,0.17110795
World,OWID_WRL,1866,-0.036202036,-0.23232661,0.15992254
World,OWID_WRL,1867,-0.035454713,-0.2373287,0.16641925
World,OWID_WRL,1868,0.0008390935,-0.182635,0.1843132
World,OWID_WRL,1869,0.04543773,-0.11618047,0.20705594
World,OWID_WRL,1870,0.036178626,-0.1110759,0.18343316
World,OWID_WRL,1871,-0.0094633605,-0.15962742,0.1407007
World,OWID_WRL,1872,0.054508634,-0.081856035,0.19087328
World,OWID_WRL,1873,0.04278163,-0.08742987,0.17299314
World,OWID_WRL,1874,-0.001451364,-0.1335081,0.13060537
World,OWID_WRL,1875,-0.00278773,-0.13947873,0.13390332
World,OWID_WRL,1876,-0.046886496,-0.18599264,0.09221966
World,OWID_WRL,1877,0.28153554,0.15366279,0.40940827
World,OWID_WRL,1878,0.37427387,0.25116238,0.49738535
World,OWID_WRL,1879,0.07522429,-0.056616865,0.20706546
World,OWID_WRL,1880,0.060786255,-0.06173613,0.18330865
World,OWID_WRL,1881,0.15094857,0.025931248,0.27596587
World,OWID_WRL,1882,0.09185199,-0.03333866,0.21704261
World,OWID_WRL,1883,0.03640274,-0.07523092,0.14803644
World,OWID_WRL,1884,-0.11048927,-0.21954362,-0.0014349727
World,OWID_WRL,1885,-0.09417247,-0.2035198,0.015174845
World,OWID_WRL,1886,-0.044213854,-0.1488369,0.060409196
World,OWID_WRL,1887,-0.12438171,-0.23906486,-0.009698501
World,OWID_WRL,1888,-0.008627316,-0.12612046,0.108865805
World,OWID_WRL,1889,0.11355785,-0.010100653,0.23721638
World,OWID_WRL,1890,-0.13629024,-0.2608838,-0.011696657
World,OWID_WRL,1891,-0.03357353,-0.17018043,0.10303334
World,OWID_WRL,1892,-0.14260815,-0.28065705,-0.0045592394
World,OWID_WRL,1893,-0.13098629,-0.2659973,0.0040247235
World,OWID_WRL,1894,-0.11478632,-0.258179,0.028606305
World,OWID_WRL,1895,-0.07787656,-0.21693264,0.061179467
World,OWID_WRL,1896,0.08536542,-0.04644259,0.21717344
World,OWID_WRL,1897,0.109309204,-0.02871119,0.24732961
World,OWID_WRL,1898,-0.110081755,-0.24544589,0.025282392
World,OWID_WRL,1899,0.019652942,-0.11072015,0.15002604
World,OWID_WRL,1900,0.13379936,0.00025049766,0.2673482
World,OWID_WRL,1901,0.076807,-0.055596255,0.20921025
World,OWID_WRL,1902,-0.07343387,-0.2052205,0.058352776
World,OWID_WRL,1903,-0.17125247,-0.2940092,-0.048495732
World,OWID_WRL,1904,-0.23310672,-0.36032057,-0.10589286
World,OWID_WRL,1905,-0.04198443,-0.16078793,0.07681904
World,OWID_WRL,1906,0.048589446,-0.07290112,0.17008
World,OWID_WRL,1907,-0.1355211,-0.25400954,-0.017032703
World,OWID_WRL,1908,-0.14259313,-0.26068556,-0.024500718
World,OWID_WRL,1909,-0.16894333,-0.28019816,-0.057688557
World,OWID_WRL,1910,-0.15812288,-0.2715884,-0.044657372
World,OWID_WRL,1911,-0.17583631,-0.28575146,-0.06592115
World,OWID_WRL,1912,-0.11218607,-0.2136315,-0.010740599
World,OWID_WRL,1913,-0.09955799,-0.20894615,0.009830127
World,OWID_WRL,1914,0.104505904,-0.0032959192,0.21230775
World,OWID_WRL,1915,0.17337433,0.055861004,0.29088765
World,OWID_WRL,1916,-0.05626356,-0.17665534,0.06412826
World,OWID_WRL,1917,-0.1799336,-0.30941504,-0.050452165
World,OWID_WRL,1918,-0.06207218,-0.2007743,0.076629974
World,OWID_WRL,1919,0.031567015,-0.1052972,0.16843127
World,OWID_WRL,1920,0.059566654,-0.07021289,0.18934622
World,OWID_WRL,1921,0.12256629,0.005072275,0.24006031
World,OWID_WRL,1922,0.025829384,-0.0818181,0.13347688
World,OWID_WRL,1923,0.04940743,-0.056283377,0.15509824
World,OWID_WRL,1924,0.05545739,-0.050066702,0.16098152
World,OWID_WRL,1925,0.08436141,-0.02336215,0.19208503
World,OWID_WRL,1926,0.24183145,0.1328454,0.3508175
World,OWID_WRL,1927,0.13812429,0.034809746,0.24143882
World,OWID_WRL,1928,0.15554583,0.046397395,0.26469427
World,OWID_WRL,1929,-0.026352962,-0.13408561,0.08137972
World,OWID_WRL,1930,0.19407724,0.08732895,0.3008255
World,OWID_WRL,1931,0.25814116,0.1525209,0.36376143
World,OWID_WRL,1932,0.21397778,0.11471919,0.31323636
World,OWID_WRL,1933,0.035649903,-0.059692793,0.13099262
World,OWID_WRL,1934,0.18691353,0.09142042,0.28240663
World,OWID_WRL,1935,0.15109025,0.058787353,0.24339312
World,OWID_WRL,1936,0.19298774,0.09765903,0.28831646
World,OWID_WRL,1937,0.34791222,0.25434914,0.44147533
World,OWID_WRL,1938,0.35106725,0.2567927,0.44534183
World,OWID_WRL,1939,0.32215777,0.2275715,0.41674402
World,OWID_WRL,1940,0.43778524,0.3199536,0.55561686
World,OWID_WRL,1941,0.39831275,0.19186857,0.60475695
World,OWID_WRL,1942,0.36344865,0.15471435,0.57218295
World,OWID_WRL,1943,0.37031943,0.1671606,0.5734783
World,OWID_WRL,1944,0.5085881,0.30361295,0.7135632
World,OWID_WRL,1945,0.40686545,0.20608912,0.60764176
World,OWID_WRL,1946,0.24122432,0.09923715,0.3832115
World,OWID_WRL,1947,0.2679654,0.13323957,0.40269127
World,OWID_WRL,1948,0.23479094,0.1095661,0.36001578
World,OWID_WRL,1949,0.21008831,0.096191145,0.32398546
World,OWID_WRL,1950,0.12430362,0.022803584,0.22580366
World,OWID_WRL,1951,0.29207906,0.20015202,0.3840061
World,OWID_WRL,1952,0.37476888,0.2747812,0.4747566
World,OWID_WRL,1953,0.44093302,0.3418167,0.5400493
World,OWID_WRL,1954,0.24642856,0.15708376,0.33577338
World,OWID_WRL,1955,0.16527745,0.075161316,0.25539356
World,OWID_WRL,1956,0.09899167,0.02246348,0.17551985
World,OWID_WRL,1957,0.3290431,0.26195952,0.39612666
World,OWID_WRL,1958,0.34748483,0.28323945,0.41173023
World,OWID_WRL,1959,0.31743297,0.2519051,0.38296083
World,OWID_WRL,1960,0.25058928,0.19510251,0.30607608
World,OWID_WRL,1961,0.34955892,0.2991865,0.39993134
World,OWID_WRL,1962,0.3051238,0.25138882,0.35885882
World,OWID_WRL,1963,0.33255702,0.27989537,0.38521865
World,OWID_WRL,1964,0.06184069,0.014659712,0.1090217
World,OWID_WRL,1965,0.16166167,0.10973374,0.2135896
World,OWID_WRL,1966,0.21859619,0.16899647,0.2681959
World,OWID_WRL,1967,0.24825229,0.20347765,0.29302692
World,OWID_WRL,1968,0.19999647,0.15364182,0.24635111
World,OWID_WRL,1969,0.33616453,0.2957707,0.37655836
World,OWID_WRL,1970,0.27994427,0.24161476,0.31827375
World,OWID_WRL,1971,0.15987837,0.12165413,0.1981026
World,OWID_WRL,1972,0.27378127,0.23690394,0.3106586
World,OWID_WRL,1973,0.4164366,0.37840772,0.45446548
World,OWID_WRL,1974,0.19527704,0.1570778,0.23347625
World,OWID_WRL,1975,0.25798622,0.22046712,0.2955053
World,OWID_WRL,1976,0.15315439,0.111947276,0.1943615
World,OWID_WRL,1977,0.46905538,0.42693207,0.51117873
World,OWID_WRL,1978,0.36946464,0.32980055,0.40912873
World,OWID_WRL,1979,0.45206377,0.4232105,0.48091704
World,OWID_WRL,1980,0.55548227,0.5229139,0.5880506
World,OWID_WRL,1981,0.61092645,0.57968634,0.64216655
World,OWID_WRL,1982,0.39492694,0.3544306,0.4354233
World,OWID_WRL,1983,0.5848059,0.5492813,0.6203305
World,OWID_WRL,1984,0.4099977,0.376012,0.44398338
World,OWID_WRL,1985,0.40994808,0.37687367,0.44302246
World,OWID_WRL,1986,0.45628086,0.4239302,0.48863152
World,OWID_WRL,1987,0.6021615,0.57142776,0.6328953
World,OWID_WRL,1988,0.64157176,0.60660774,0.6765357
World,OWID_WRL,1989,0.5388561,0.5034881,0.574224
World,OWID_WRL,1990,0.7190031,0.68379974,0.7542065
World,OWID_WRL,1991,0.69776946,0.6621659,0.7333731
World,OWID_WRL,1992,0.48398593,0.45042333,0.51754856
World,OWID_WRL,1993,0.52505124,0.48671445,0.563388
World,OWID_WRL,1994,0.59140015,0.5550177,0.6277825
World,OWID_WRL,1995,0.7350925,0.70191336,0.76827174
World,OWID_WRL,1996,0.63479936,0.6025453,0.6670534
World,OWID_WRL,1997,0.7790312,0.74655515,0.8115073
World,OWID_WRL,1998,0.93592083,0.9028746,0.968967
World,OWID_WRL,1999,0.68199766,0.64938253,0.7146128
World,OWID_WRL,2000,0.6894687,0.6567287,0.7222087
World,OWID_WRL,2001,0.8474103,0.8136172,0.88120335
World,OWID_WRL,2002,0.90111876,0.87089485,0.93134266
World,OWID_WRL,2003,0.9022393,0.8687722,0.9357065
World,OWID_WRL,2004,0.826385,0.79601645,0.8567535
World,OWID_WRL,2005,0.9662671,0.9350287,0.99750555
World,OWID_WRL,2006,0.93028426,0.898975,0.9615935
World,OWID_WRL,2007,0.949474,0.9175324,0.9814156
World,OWID_WRL,2008,0.82314956,0.7906812,0.85561794
World,OWID_WRL,2009,0.9539675,0.9231017,0.9848333
World,OWID_WRL,2010,1.0376073,1.0069752,1.0682396
World,OWID_WRL,2011,0.8965769,0.8656566,0.9274972
World,OWID_WRL,2012,0.93547153,0.9037727,0.9671704
World,OWID_WRL,2013,0.98260313,0.94711965,1.0180867
World,OWID_WRL,2014,1.031819,0.9993273,1.0643106
World,OWID_WRL,2015,1.1819104,1.148253,1.2155677
World,OWID_WRL,2016,1.2887791,1.2575042,1.3200539
World,OWID_WRL,2017,1.2004167,1.1683854,1.2324479
World,OWID_WRL,2018,1.1171584,1.0857053,1.1486115
World,OWID_WRL,2019,1.2513031,1.2179996,1.2846066
World,OWID_WRL,2020,1.2802037,1.2460152,1.3143922
World,OWID_WRL,2021,1.1312726,1.0963446,1.1662005
World,OWID_WRL,2022,1.1658032,1.1287576,1.2028489
World,OWID_WRL,2023,1.4737644,1.4368042,1.5107247
World,OWID_WRL,2024,1.5329651,1.4937952,1.572135
World,OWID_WRL,2025,1.4119903,1.3725953,1.4513854
World,OWID_WRL,2026,1.3900285,1.2888362,1.4912206
